date,agreement,type,subject,organizator,comment,place,total,id
04.12.2011,не согласовано,митинг,За честные выборы,Оркгомитет 23 августа,,"триумальная, площадь революции",198,1
05.12.2011,согласовано,митинг,За честные выборы,Солидарность,,чистые пруды,300,2
06.12.2011,не согласовано,митинг,За честные выборы,стихийная,,триумфальная,600,3
07.12.2011,не согласовано,митинг,За честные выборы,стихийная,,,70,4
14.12.2011,не согласовано,одиночный пикет,политзеки,стихийная,Одиночный пикет у Спецприемника,,3,5
18.12.2011,согласовано,митинг,За честные выборы,Яблоко,Митинг Яблоко,Болотная,2,6
19.12.2011,не согласовано,акция,другое,другое,,попы,3,7
20.12.2011,не согласовано,активист,другое,другое,Верзилов-военкомат,Верзилов,1,8
21.12.2011,не согласовано,акция,За честные выборы,Другая Россия,«Они не пройдут! не допустим самозванцев в парламент!» ,Госдума,27,9
23.12.2011,не согласовано,агитация,За честные выборы,другое,листовки в мастерской,Мастерская,3,10
23.12.2011,не согласовано,агитация,За честные выборы,Оргкомитет протестных действий,Флеш-моб в метро,станции метро,30,11
23.12.2011,не согласовано,агитация,За честные выборы,стихийная,Студентка-листовки,МГУ,1,12
23.12.2011,не согласовано,активист,другое,другое,Павел Чиков,Павел Чиков,1,13
24.12.2011,согласовано,митинг,За честные выборы,Оргкомитет протестных действий,Задержаны на подходе к митнгу,Сахарова,10,14
25.12.2011,не согласовано,пикет,политзеки,стихийная,Суд на Удальцовым,Новая Площадь,1,15
31.12.2011,не согласовано,Стратегия-31,Стратегия-31,С-31,Стратегия-31,Триумфальная,62,16
10.01.2012,не согласовано,одиночный пикет,политзеки,Другая Россия,Свободу Таисии Осиповой. ,Пикеты у ст.метрополитена,4,17
14.01.2012,согласовано,митинг,За честные выборы,Яблоко,Список Чурова — митинг яблоко,Чистопрудный бульвар,3,18
18.01.2012,не согласовано,пикет,другое,Пиратская партия,SOPA — пикет партии пиратов,посольство сша,2,19
19.01.2012,согласовано,митинг,другое,комитет 19 января,Антифашистский марш,Пушкинская,1,20
20.01.2012,не согласовано,акция,антиПутин,Pussy Riot,Pussy Riot — концерт на Лобном месте,Красная площадь,8,21
24.01.2012,не согласовано,агитация,За честные выборы,Росагит,Коровин-палатки,Пушкинская,1,22
